hit point: Point3 { x: 0.015797174722681894, y: 0.08932038511670176, z: 0.0 } normal:Vec3 { x: 0.0, y: 0.0, z: 1.0 }
hit point: Point3 { x: 0.043697407060883896, y: 0.02206562249681276, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.043697407060884, y: 2.0220656224968128, z: 0.0 }
hit point: Point3 { x: 0.043697407060883896, y: 0.02206562249681276, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.043697407060884, y: 2.0220656224968128, z: 0.0 }
hit point: Point3 { x: 0.07985765457198539, y: 0.0017486324317248503, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0798576545719856, y: 2.001748632431725, z: 0.0 }
hit point: Point3 { x: 0.07985765457198539, y: 0.0017486324317248503, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0798576545719856, y: 2.001748632431725, z: 0.0 }
hit point: Point3 { x: -0.07942587345030123, y: -0.029576230371667657, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9205741265496987, y: 1.9704237696283324, z: 0.0 }
hit point: Point3 { x: -0.07942587345030123, y: -0.029576230371667657, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9205741265496987, y: 1.9704237696283324, z: 0.0 }
hit point: Point3 { x: -0.06082829874630811, y: -0.037608052626544895, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.939171701253692, y: 1.962391947373455, z: 0.0 }
hit point: Point3 { x: -0.06082829874630811, y: -0.037608052626544895, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.939171701253692, y: 1.962391947373455, z: 0.0 }
hit point: Point3 { x: -0.008115239857739275, y: -0.02521600916470152, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9918847601422607, y: 1.9747839908352984, z: 0.0 }
hit point: Point3 { x: -0.008115239857739275, y: -0.02521600916470152, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9918847601422607, y: 1.9747839908352984, z: 0.0 }
hit point: Point3 { x: 0.0371930240114347, y: -0.035331764587263954, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.037193024011435, y: 1.964668235412736, z: 0.0 }
hit point: Point3 { x: 0.0371930240114347, y: -0.035331764587263954, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.037193024011435, y: 1.964668235412736, z: 0.0 }
hit point: Point3 { x: 0.049149166846564014, y: -0.010505087018003678, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.049149166846564, y: 1.9894949129819963, z: 0.0 }
hit point: Point3 { x: 0.049149166846564014, y: -0.010505087018003678, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.049149166846564, y: 1.9894949129819963, z: 0.0 }
hit point: Point3 { x: 0.0778760712770932, y: -0.017040153508906107, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0778760712770934, y: 1.9829598464910938, z: 0.0 }
hit point: Point3 { x: 0.0778760712770932, y: -0.017040153508906107, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0778760712770934, y: 1.9829598464910938, z: 0.0 }
hit point: Point3 { x: -0.05392657733053774, y: -0.042465808231698786, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9460734226694623, y: 1.9575341917683011, z: 0.0 }
hit point: Point3 { x: -0.05392657733053774, y: -0.042465808231698786, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9460734226694623, y: 1.9575341917683011, z: 0.0 }
hit point: Point3 { x: -0.035170491446613994, y: -0.05153744417578245, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.964829508553386, y: 1.9484625558242175, z: 0.0 }
hit point: Point3 { x: -0.035170491446613994, y: -0.05153744417578245, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.964829508553386, y: 1.9484625558242175, z: 0.0 }
hit point: Point3 { x: 0.030849219386127124, y: -0.0678595087306757, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.030849219386127, y: 1.9321404912693243, z: 0.0 }
hit point: Point3 { x: 0.030849219386127124, y: -0.0678595087306757, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.030849219386127, y: 1.9321404912693243, z: 0.0 }
hit point: Point3 { x: 0.05289609763280226, y: -0.04015624293386431, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0528960976328023, y: 1.9598437570661358, z: 0.0 }
hit point: Point3 { x: 0.05289609763280226, y: -0.04015624293386431, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0528960976328023, y: 1.9598437570661358, z: 0.0 }
hit point: Point3 { x: -0.040528092028538514, y: -0.08507119264190859, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9594719079714615, y: 1.9149288073580915, z: 0.0 }
hit point: Point3 { x: -0.040528092028538514, y: -0.08507119264190859, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9594719079714615, y: 1.9149288073580915, z: 0.0 }
hit point: Point3 { x: -0.031912517869300674, y: -0.08569637656388754, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9680874821306993, y: 1.9143036234361124, z: 0.0 }
hit point: Point3 { x: -0.031912517869300674, y: -0.08569637656388754, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9680874821306993, y: 1.9143036234361124, z: 0.0 }
hit point: Point3 { x: -0.04157662510037205, y: 0.08528700781808014, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.958423374899628, y: 2.08528700781808, z: 0.0 } alpha: 7.833693499598512
hit point: Point3 { x: -0.04157662510037205, y: 0.08528700781808014, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.958423374899628, y: 2.08528700781808, z: 0.0 } alpha: 7.833693499598512
hit point: Point3 { x: -0.06318514684073423, y: 0.0590822741372051, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9368148531592657, y: 2.059082274137205, z: 0.0 } alpha: 7.747259412637063
hit point: Point3 { x: -0.06318514684073423, y: 0.0590822741372051, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9368148531592657, y: 2.059082274137205, z: 0.0 } alpha: 7.747259412637063
hit point: Point3 { x: -0.015698985184426563, y: 0.04203041320517205, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9843010148155735, y: 2.042030413205172, z: 0.0 } alpha: 7.937204059262294
hit point: Point3 { x: -0.015698985184426563, y: 0.04203041320517205, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9843010148155735, y: 2.042030413205172, z: 0.0 } alpha: 7.937204059262294
hit point: Point3 { x: 0.014380305859870112, y: 0.048514840519147555, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.01438030585987, y: 2.0485148405191476, z: 0.0 } alpha: 8.05752122343948
hit point: Point3 { x: 0.014380305859870112, y: 0.048514840519147555, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.01438030585987, y: 2.0485148405191476, z: 0.0 } alpha: 8.05752122343948
hit point: Point3 { x: 0.04133134750781071, y: 0.039746425508523406, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0413313475078105, y: 2.0397464255085236, z: 0.0 } alpha: 8.165325390031242
hit point: Point3 { x: 0.04133134750781071, y: 0.039746425508523406, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0413313475078105, y: 2.0397464255085236, z: 0.0 } alpha: 8.165325390031242
hit point: Point3 { x: 0.07774957858318031, y: 0.041161008078600854, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0777495785831803, y: 2.0411610080786007, z: 0.0 } alpha: 8.310998314332721
hit point: Point3 { x: 0.07774957858318031, y: 0.041161008078600854, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0777495785831803, y: 2.0411610080786007, z: 0.0 } alpha: 8.310998314332721
hit point: Point3 { x: -0.05687396334216412, y: 0.013629897625710718, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9431260366578358, y: 2.0136298976257105, z: 0.0 } alpha: 7.772504146631343
hit point: Point3 { x: -0.05687396334216412, y: 0.013629897625710718, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9431260366578358, y: 2.0136298976257105, z: 0.0 } alpha: 7.772504146631343
hit point: Point3 { x: -0.020240349357621135, y: 0.028336683034764932, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.979759650642379, y: 2.028336683034765, z: 0.0 } alpha: 7.919038602569516
hit point: Point3 { x: -0.020240349357621135, y: 0.028336683034764932, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.979759650642379, y: 2.028336683034765, z: 0.0 } alpha: 7.919038602569516
hit point: Point3 { x: 0.009687071968109785, y: 0.012747132280689579, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0096870719681097, y: 2.0127471322806896, z: 0.0 } alpha: 8.038748287872439
hit point: Point3 { x: 0.009687071968109785, y: 0.012747132280689579, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0096870719681097, y: 2.0127471322806896, z: 0.0 } alpha: 8.038748287872439
hit point: Point3 { x: 0.06319242075842962, y: 0.02578811790588294, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.06319242075843, y: 2.0257881179058828, z: 0.0 } alpha: 8.25276968303372
hit point: Point3 { x: 0.06319242075842962, y: 0.02578811790588294, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.06319242075843, y: 2.0257881179058828, z: 0.0 } alpha: 8.25276968303372
hit point: Point3 { x: 0.07965009731340995, y: 0.012673513735533604, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0796500973134098, y: 2.0126735137355336, z: 0.0 } alpha: 8.318600389253639
hit point: Point3 { x: 0.07965009731340995, y: 0.012673513735533604, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0796500973134098, y: 2.0126735137355336, z: 0.0 } alpha: 8.318600389253639
hit point: Point3 { x: -0.0823870259245279, y: -0.02787445334419374, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9176129740754722, y: 1.9721255466558063, z: 0.0 } alpha: 7.670451896301889
hit point: Point3 { x: -0.0823870259245279, y: -0.02787445334419374, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9176129740754722, y: 1.9721255466558063, z: 0.0 } alpha: 7.670451896301889
hit point: Point3 { x: -0.038662606086969295, y: -0.0066821374432693755, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9613373939130307, y: 1.9933178625567307, z: 0.0 } alpha: 7.845349575652123
hit point: Point3 { x: -0.038662606086969295, y: -0.0066821374432693755, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9613373939130307, y: 1.9933178625567307, z: 0.0 } alpha: 7.845349575652123
hit point: Point3 { x: -0.008181798670208807, y: -0.003747869869248, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9918182013297911, y: 1.996252130130752, z: 0.0 } alpha: 7.967272805319165
hit point: Point3 { x: -0.008181798670208807, y: -0.003747869869248, z: 0.0 } planar_hitpt_vector:Vec3 { x: 1.9918182013297911, y: 1.996252130130752, z: 0.0 } alpha: 7.967272805319165
hit point: Point3 { x: 0.001913278890356551, y: -0.002493052444074628, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0019132788903566, y: 1.9975069475559253, z: 0.0 } alpha: 8.007653115561427
hit point: Point3 { x: 0.001913278890356551, y: -0.002493052444074628, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.0019132788903566, y: 1.9975069475559253, z: 0.0 } alpha: 8.007653115561427
hit point: Point3 { x: 0.05901269308099231, y: -0.02657882803488132, z: 0.0 } planar_hitpt_vector:Vec3 { x: 2.059012693080992, y: 1.9734211719651187, z: 0.0 } alpha: 8.236050772323969
